#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
201540_at   615.2   A   0.080566
200761_s_at 2591.6  P   0.008057
200666_s_at 932.3   P   0.018555
211185_s_at 1892.2  P   0.01416
204737_s_at 10.4    A   0.976074
200658_s_at 28.1    A   0.567627
210195_s_at 425.9   P   0.030273
200645_at   8898.8  P   0.000244
200707_at   593.7   A   0.219482
201077_s_at 687.3   P   0.023926
200710_at   1004.7  A   0.171387
200632_s_at 1041.5  P   0.000244
208636_at   2944.5  P   0.00293
200609_s_at 2098.8  A   0.067627
200834_s_at 6553.3  P   0.000732
216088_s_at 77.1    A   0.432373
200675_at   1394.4  P   0.010742
201786_s_at 2513.9  P   0.000244
211980_at   172.6   A   0.303711
208626_s_at 951.2   A   0.366211
212509_s_at 1035.8  P   0.005859
214218_s_at 157.2   A   0.111572
217753_s_at 3986.1  P   0.000732
200747_s_at 96.9    A   0.753906
200820_at   75.4    A   0.633789
208662_s_at 600.8   P   0.001221
201304_at   142.6   A   0.219482
208620_at   4563.5  P   0.00293
217716_s_at 144.3   A   0.601074
200903_s_at 479.2   P   0.023926
201092_at   636.4   P   0.023926
213201_s_at 47.8    A   0.919434
200846_s_at 1275.8  P   0.01416
207168_s_at 2635.9  P   0.001221
217822_at   549.1   A   0.19458
208723_at   849.9   A   0.111572
208745_at   585.4   A   0.171387
208728_s_at 741.2   P   0.023926
217225_x_at 1458.8  A   0.129639
200661_at   56.9    A   0.696289
200644_at   1257.4  P   0.000244
220789_s_at 82.3    A   0.888428
208967_s_at 781.1   A   0.111572
201058_s_at 14.3    A   0.999268
200942_s_at 1035.3  M   0.056152
212461_at   833.6   P   0.00415
219549_s_at 2369    P   0.023926
200595_s_at 385.2   P   0.001953
200998_s_at 927.7   P   0.046143
211992_at   2430.6  P   0.001221
213086_s_at 546.2   P   0.037598
202154_x_at 307.3   A   0.303711
210027_s_at 798.5   A   0.432373
200782_at   1256.2  P   0.005859
200876_s_at 678 P   0.018555
200701_at   1735.4  P   0.000244
213621_s_at 131.2   A   0.334473
38691_s_at  842.4   A   0.302547
200619_at   105.1   A   0.989258
206158_s_at 1789.5  P   0.001953
200652_at   1764.9  P   0.018555
213281_at   317.5   P   0.008057
208614_s_at 92.8    A   0.80542
214214_s_at 138 A   0.219482
206918_s_at 872.2   P   0.005859
200618_at   2410.7  P   0.001221
