#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
203973_s_at 2576.2  P   0.001221
200921_s_at 4307    P   0.000244
205157_s_at 125.4   A   0.466064
204179_at   576.5   A   0.219482
208756_at   1212.7  A   0.19458
217729_s_at 141.5   A   0.601074
201339_s_at 208 A   0.303711
200877_at   849.1   A   0.095215
200682_s_at 1059.1  P   0.008057
215399_s_at 895.3   P   0.037598
201272_at   630.5   P   0.037598
208675_s_at 690.3   A   0.067627
201531_at   1630.4  A   0.171387
200896_x_at 3343    P   0.00415
200603_at   2955.7  P   0.000244
208616_s_at 3087.9  P   0.000732
212037_at   501.2   P   0.01416
200608_s_at 618.4   P   0.000244
200944_s_at 1848.7  P   0.001953
210950_s_at 1832.5  P   0.000732
200660_at   2587.6  A   0.067627
200668_s_at 4766.2  P   0.000244
200959_at   701.1   A   0.080566
201105_at   550.5   A   0.19458
200797_s_at 5787.7  P   0.000244
200691_s_at 620.7   M   0.056152
212600_s_at 757.1   P   0.000244
39729_at    1290.3  P   0.001602
217773_s_at 1066.9  A   0.111572
218013_x_at 415.6   A   0.095215
201669_s_at 885.9   P   0.01416
200735_x_at 4670.5  P   0.000244
201496_x_at 247.7   A   0.72583
200696_s_at 1374    P   0.037598
210297_s_at 54.1    A   0.366211
208794_s_at 69.7    A   0.80542
211954_s_at 214.8   A   0.19458
200958_s_at 10651   P   0.000244
200708_at   224.7   A   0.567627
200830_at   504.7   M   0.056152
208658_at   1074.6  P   0.023926
200620_at   946.6   P   0.030273
208712_at   52.1    A   0.665527
222021_x_at 1521.8  P   0.00415
217728_at   3476.7  P   0.001221
200974_at   536.7   A   0.19458
200926_at   20602.3 P   0.000732
212203_x_at 11740.8 P   0.023926
200720_s_at 496.5   A   0.398926
200902_at   437.4   P   0.000244
208310_s_at 240.1   A   0.334473
200768_s_at 654.5   M   0.056152
209701_at   1172.4  P   0.018555
204450_x_at 35.7    A   0.696289
208682_s_at 22.8    A   0.850342
200793_s_at 94.9    A   0.753906
200901_s_at 688.5   A   0.129639
210715_s_at 74.7    A   0.696289
200626_s_at 515.3   P   0.037598
200728_at   3109.9  P   0.001221
200629_at   480.1   P   0.00415
200932_s_at 313.8   A   0.466064
41220_at    4024.6  M   0.05447
201275_at   332.4   A   0.398926
208811_s_at 57.6    A   0.633789
216032_s_at 682.6   P   0.018555
201041_s_at 7039    P   0.001953
200854_at   356.6   P   0.037598
210816_s_at 761.3   P   0.005859
201540_at   665.9   A   0.067627
200761_s_at 2244.2  P   0.023926
200666_s_at 920.3   M   0.056152
211185_s_at 2280.8  P   0.018555
204737_s_at 262 A   0.601074
200658_s_at 393.6   A   0.080566
210195_s_at 374.9   P   0.01416
200645_at   6479.7  P   0.000732
200707_at   755 A   0.19458
201077_s_at 360.3   A   0.171387
200710_at   1152.9  A   0.080566
200632_s_at 1044.2  P   0.001953
208636_at   3258.7  P   0.001953
200609_s_at 1649.3  A   0.067627
200834_s_at 7155.6  P   0.000732
216088_s_at 132.1   A   0.5
